RMMTool,URL
teamviewer,https://www.teamviewer.com/
anydesk,https://anydesk.com/
gotomypc,https://get.gotomypc.com/
screenconnect,https://screenconnect.connectwise.com/
simplehelp,https://simple-help.com/
netsupport,https://www.netsupportsoftware.com/
atera,https://www.atera.com/
gotohttp,https://gotohttp.com/
splashtop,https://www.splashtop.com/
ammyy,https://www.ammyy.com/
idrive,https://www.remotepc.com/
remote utilities,https://www.remoteutilities.com/
glavsoft,https://glavsoft.com/
asbolute computrace,https://https://www.absolute.com/
access remotepc,https://www.remotedesktop.com/
remotix,https://www.acronis.com
action1,https://www.action1.com/
addigy,https://addigy.com
adobe connect, https://adobeconnect.com
aero admin,https://aeroadmin.com
aliwangwang,https://angwang.taobao.com
alpemix,https://www.alpemix.com
ammyy admin,https://www.ammyy.com
any supprt,https://anysupport.net
anyplace control, https://anyplace-control.com
anyviewer,https://www.anyviewer.com/
aspia,https://aspia.org/
auvik,https://auvik.com
aweray,https://aweray.com
barracuda,https://barracudamsp.com
basecamp,https://basecamp.com
beamyourscreen,https://beamyourscreen.com
